,ackman,aschenbrenner,baker,biotech,bond,commodities,consumer,currency,druckenmiller,energy,financials,flow,industrials,metals,microcap,news,semiconductor
ackman,1.0000,0.1598,0.2284,-0.0052,-0.0947,-0.0521,0.0019,-0.2101,0.0625,0.1215,0.1655,-0.0188,-0.1198,-0.0420,-0.3133,-0.0445,0.2311
aschenbrenner,0.1598,1.0000,0.0930,0.1072,0.1164,-0.1052,0.0769,0.1687,0.1866,-0.0475,0.2283,0.0103,0.2349,0.0435,0.0551,0.2025,0.1484
baker,0.2284,0.0930,1.0000,0.0424,0.0053,-0.1287,0.1189,0.2810,0.1984,0.0169,0.1617,0.1376,0.0241,0.2583,0.1290,0.2397,0.1954
biotech,-0.0052,0.1072,0.0424,1.0000,-0.0966,0.1396,0.2507,-0.0091,-0.0193,-0.0204,-0.0422,0.1587,0.1953,0.2552,0.0440,0.1726,0.1973
bond,-0.0947,0.1164,0.0053,-0.0966,1.0000,0.1980,-0.1203,0.2122,0.0109,0.3029,-0.1567,0.0966,0.0301,0.1084,0.2527,0.2151,0.2438
commodities,-0.0521,-0.1052,-0.1287,0.1396,0.1980,1.0000,0.0906,0.0780,-0.2294,0.0736,-0.2213,0.3279,0.1229,0.1345,-0.0583,0.1762,0.1904
consumer,0.0019,0.0769,0.1189,0.2507,-0.1203,0.0906,1.0000,0.2547,0.0083,-0.2889,0.1319,0.1478,0.2404,0.3313,0.0921,0.0408,-0.1413
currency,-0.2101,0.1687,0.2810,-0.0091,0.2122,0.0780,0.2547,1.0000,-0.0477,-0.2470,0.2521,0.2423,0.2435,0.3501,0.0762,0.4062,-0.0074
druckenmiller,0.0625,0.1866,0.1984,-0.0193,0.0109,-0.2294,0.0083,-0.0477,1.0000,-0.2035,-0.1273,-0.0527,-0.2004,-0.1475,0.1235,0.0918,-0.1219
energy,0.1215,-0.0475,0.0169,-0.0204,0.3029,0.0736,-0.2889,-0.2470,-0.2035,1.0000,-0.1132,-0.0915,-0.1728,-0.1224,0.0343,0.2468,0.3731
financials,0.1655,0.2283,0.1617,-0.0422,-0.1567,-0.2213,0.1319,0.2521,-0.1273,-0.1132,1.0000,0.1919,0.1248,0.1570,0.0428,-0.1409,-0.0664
flow,-0.0188,0.0103,0.1376,0.1587,0.0966,0.3279,0.1478,0.2423,-0.0527,-0.0915,0.1919,1.0000,0.0094,0.1533,0.0655,0.0379,0.0519
industrials,-0.1198,0.2349,0.0241,0.1953,0.0301,0.1229,0.2404,0.2435,-0.2004,-0.1728,0.1248,0.0094,1.0000,0.0743,0.0617,0.0648,-0.0114
metals,-0.0420,0.0435,0.2583,0.2552,0.1084,0.1345,0.3313,0.3501,-0.1475,-0.1224,0.1570,0.1533,0.0743,1.0000,0.1305,0.2285,0.0639
microcap,-0.3133,0.0551,0.1290,0.0440,0.2527,-0.0583,0.0921,0.0762,0.1235,0.0343,0.0428,0.0655,0.0617,0.1305,1.0000,0.1823,-0.0898
news,-0.0445,0.2025,0.2397,0.1726,0.2151,0.1762,0.0408,0.4062,0.0918,0.2468,-0.1409,0.0379,0.0648,0.2285,0.1823,1.0000,0.1761
semiconductor,0.2311,0.1484,0.1954,0.1973,0.2438,0.1904,-0.1413,-0.0074,-0.1219,0.3731,-0.0664,0.0519,-0.0114,0.0639,-0.0898,0.1761,1.0000
